years_of_experience,skill_match_score,interview_score,assessment_score,decision_confidence,feature_count,risk_label,gender,age,caste_proxy,socioeconomic_bg,location_tier,final_decision
5.1,0.386,64.1,43.8,0.94,3,YELLOW,Male,28,OBC,High,Tier-2,Rejected
0.6,0.047,90.9,75.6,0.442,3,YELLOW,Male,23,General,High,Tier-2,Hired
2.4,0.535,93.0,76.1,0.516,5,YELLOW,Female,58,OBC,High,Metro,Rejected
18.3,0.995,52.0,56.4,0.403,10,YELLOW,Female,51,OBC,Low,Metro,Hired
6.4,0.969,68.6,62.9,0.979,6,GREEN,Male,59,OBC,Middle,Metro,Hired
12.2,0.221,42.3,70.1,0.798,1,RED,Female,38,SC,Low,Metro,Rejected
9.3,0.756,56.1,57.5,0.14,2,YELLOW,Male,43,General,Middle,Metro,Hired
8.0,0.345,37.6,90.2,0.622,4,RED,Male,23,General,Middle,Metro,Hired
10.6,0.16,62.5,26.1,0.506,4,YELLOW,Female,28,ST,Low,Tier-2,Rejected
3.7,0.666,66.3,98.4,0.796,8,GREEN,Female,24,General,High,Tier-2,Rejected
19.8,0.501,47.0,22.7,0.987,5,GREEN,Female,34,General,Low,Metro,Rejected
16.4,0.539,41.8,36.6,0.75,10,YELLOW,Male,36,OBC,Middle,Metro,Hired
14.8,0.827,32.1,76.7,0.863,4,GREEN,Female,29,General,High,Metro,Rejected
9.4,0.337,31.2,26.8,0.522,9,YELLOW,Female,51,SC,Low,Tier-3,Hired
3.1,0.667,76.9,41.0,0.401,2,YELLOW,Female,44,General,Middle,Tier-2,Hired
18.4,0.366,37.7,32.3,0.655,13,RED,Male,37,ST,High,Tier-3,Hired
6.8,0.043,29.4,77.9,0.754,13,RED,Male,36,General,Low,Tier-2,Hired
1.0,0.378,99.9,66.3,0.264,4,YELLOW,Male,43,General,Middle,Metro,Rejected
6.8,0.95,40.8,25.2,0.523,4,YELLOW,Female,35,OBC,Middle,Tier-3,Hired
15.9,0.483,91.7,56.8,0.157,1,GREEN,Female,51,General,High,Metro,Rejected
12.5,0.108,68.7,36.7,0.253,13,RED,Female,52,General,Low,Tier-2,Rejected
15.0,0.688,77.2,97.4,0.879,1,GREEN,Male,28,General,Middle,Tier-2,Hired
15.9,0.963,64.9,28.6,0.186,1,YELLOW,Female,58,General,High,Tier-3,Rejected
4.2,0.908,34.5,67.8,0.813,2,GREEN,Male,38,SC,Low,Tier-2,Rejected
18.5,0.572,87.8,58.5,0.4,4,GREEN,Female,28,SC,Middle,Tier-3,Rejected
8.8,0.376,86.2,66.2,0.674,13,YELLOW,Male,54,OBC,Low,Tier-2,Hired
12.8,0.581,48.0,96.5,0.906,3,GREEN,Female,37,OBC,Middle,Tier-3,Hired
0.0,0.816,81.1,47.3,0.784,8,YELLOW,Male,26,OBC,Middle,Metro,Rejected
19.9,0.861,63.4,79.9,0.826,9,GREEN,Male,41,General,Middle,Tier-2,Hired
5.6,0.819,92.7,55.8,0.295,11,YELLOW,Female,36,OBC,Middle,Metro,Hired
1.2,0.455,84.2,72.9,0.39,10,RED,Female,30,ST,Middle,Tier-2,Hired
9.2,0.119,23.3,49.3,0.739,13,RED,Male,49,General,Middle,Tier-2,Hired
2.6,0.569,90.3,38.2,0.781,9,YELLOW,Female,36,General,High,Tier-3,Rejected
3.0,0.156,97.5,26.7,0.793,11,YELLOW,Male,41,General,Low,Tier-3,Hired
12.6,0.061,79.4,28.1,0.746,5,YELLOW,Female,23,OBC,High,Tier-2,Hired
7.9,0.499,29.6,96.8,0.268,6,YELLOW,Male,35,SC,Middle,Tier-2,Rejected
18.4,0.655,84.6,83.1,0.322,10,YELLOW,Male,22,General,Middle,Tier-3,Rejected
6.4,0.854,71.8,39.6,0.936,12,GREEN,Female,31,General,High,Tier-3,Rejected
14.5,0.783,47.1,62.3,0.571,1,YELLOW,Female,51,General,Middle,Metro,Rejected
9.2,0.857,90.7,77.1,0.759,6,RED,Male,57,SC,Middle,Tier-2,Hired
13.2,0.76,65.2,48.2,0.613,11,YELLOW,Female,34,OBC,High,Rural,Rejected
12.0,0.703,88.2,55.2,0.919,2,GREEN,Female,48,General,Low,Metro,Hired
9.5,0.01,73.6,77.5,0.867,5,YELLOW,Male,48,General,Middle,Tier-2,Rejected
19.0,0.626,43.1,38.2,0.296,8,YELLOW,Male,51,General,Middle,Metro,Rejected
6.9,0.12,98.0,62.1,0.882,2,RED,Male,24,ST,High,Tier-3,Rejected
3.5,0.059,65.7,36.8,0.332,12,RED,Female,32,OBC,Middle,Tier-3,Hired
13.6,0.156,61.3,20.2,0.465,5,YELLOW,Male,47,General,Middle,Rural,Rejected
16.9,0.823,52.3,75.2,0.85,11,YELLOW,Male,32,ST,High,Tier-3,Rejected
0.8,0.744,30.9,76.6,0.355,6,YELLOW,Female,46,ST,Middle,Tier-2,Rejected
9.0,0.949,74.9,99.7,0.323,6,YELLOW,Female,56,General,Middle,Tier-2,Rejected
17.8,0.979,54.5,34.5,0.679,13,YELLOW,Male,53,General,High,Tier-3,Hired
15.0,0.893,94.8,79.2,0.99,12,YELLOW,Male,40,ST,High,Tier-3,Hired
19.8,0.133,97.2,95.8,0.173,7,YELLOW,Female,28,General,Middle,Metro,Hired
10.6,0.878,81.4,71.6,0.709,7,YELLOW,Female,33,General,High,Metro,Hired
13.2,0.839,39.4,97.1,0.545,11,YELLOW,Male,42,OBC,High,Tier-3,Rejected
6.0,0.871,77.3,99.6,0.436,9,YELLOW,Male,50,SC,Low,Metro,Rejected
19.0,0.152,21.6,84.1,0.755,13,YELLOW,Female,56,General,High,Tier-3,Hired
7.3,0.117,86.1,99.9,0.572,5,YELLOW,Female,53,General,Middle,Rural,Hired
14.8,0.924,59.5,70.1,0.8,2,RED,Male,29,SC,Low,Tier-2,Hired
8.1,0.174,94.9,59.8,0.749,3,GREEN,Female,25,SC,Middle,Metro,Rejected
11.2,0.369,50.2,93.4,0.976,7,GREEN,Female,25,General,Middle,Rural,Rejected
14.4,0.456,41.1,86.5,0.812,5,YELLOW,Female,29,General,Middle,Tier-2,Rejected
10.2,0.124,99.6,28.8,0.113,11,RED,Male,34,OBC,High,Tier-3,Rejected
18.1,0.021,62.5,44.2,0.783,12,YELLOW,Male,22,General,Middle,Metro,Rejected
8.4,0.994,89.1,40.9,0.661,3,GREEN,Female,58,OBC,Low,Metro,Rejected
12.9,0.877,92.9,88.4,0.134,13,RED,Male,34,General,Middle,Metro,Hired
6.8,0.912,61.5,38.7,0.619,9,YELLOW,Male,27,SC,Low,Tier-2,Rejected
8.2,0.285,56.5,44.3,0.756,4,GREEN,Female,41,General,Middle,Rural,Rejected
8.8,0.22,64.2,61.5,0.235,3,RED,Female,25,General,Middle,Tier-2,Hired
2.5,0.426,87.8,26.1,0.459,3,YELLOW,Male,54,General,Middle,Metro,Rejected
1.8,0.453,97.2,96.9,0.56,7,YELLOW,Male,59,General,Middle,Metro,Rejected
13.3,0.006,46.3,59.3,0.438,1,YELLOW,Female,56,OBC,Middle,Tier-3,Hired
13.1,0.779,79.1,35.2,0.873,2,GREEN,Female,36,OBC,Middle,Metro,Hired
13.3,0.997,42.8,41.7,0.209,10,RED,Male,45,SC,Low,Metro,Rejected
0.4,0.529,68.9,83.8,0.775,7,YELLOW,Male,26,OBC,Low,Tier-3,Hired
6.5,0.388,84.4,70.7,0.781,7,YELLOW,Male,22,OBC,Middle,Metro,Rejected
4.0,0.393,90.9,57.2,0.471,5,YELLOW,Female,42,SC,High,Tier-2,Hired
15.6,0.096,55.9,46.5,0.557,8,RED,Female,50,General,Low,Tier-2,Rejected
17.2,0.266,49.6,92.1,0.194,5,YELLOW,Female,21,SC,High,Metro,Rejected
4.9,0.502,40.3,81.8,0.233,1,GREEN,Female,59,OBC,Low,Metro,Hired
13.4,0.432,30.7,77.4,0.55,8,YELLOW,Male,37,General,High,Tier-2,Rejected
2.6,0.545,49.2,55.7,0.261,2,YELLOW,Male,45,OBC,High,Metro,Hired
5.5,0.849,89.8,98.5,0.808,9,YELLOW,Female,22,ST,High,Rural,Rejected
2.8,0.225,53.5,76.8,0.629,12,YELLOW,Male,55,General,High,Metro,Rejected
5.7,0.028,45.4,53.9,0.103,9,RED,Male,43,OBC,Middle,Tier-3,Rejected
13.5,0.038,79.1,96.8,0.386,8,YELLOW,Male,39,OBC,Middle,Metro,Rejected
18.2,0.134,37.2,91.7,0.857,13,YELLOW,Female,45,General,Low,Metro,Rejected
4.1,0.57,40.5,79.2,0.311,3,RED,Female,53,General,Middle,Tier-2,Rejected
10.8,0.808,94.9,81.4,0.727,11,GREEN,Female,21,General,Middle,Tier-3,Hired
14.0,0.887,26.5,53.9,0.138,3,GREEN,Female,22,General,Middle,Metro,Hired
19.1,0.635,53.2,60.6,0.925,1,GREEN,Female,40,SC,Middle,Metro,Hired
12.2,0.403,66.1,35.3,0.472,4,YELLOW,Male,51,General,Low,Tier-3,Rejected
5.1,0.155,38.4,67.6,0.512,7,YELLOW,Male,57,OBC,Middle,Tier-2,Hired
12.5,0.401,42.5,49.6,0.586,1,YELLOW,Female,24,General,Middle,Rural,Rejected
6.4,0.332,37.7,47.8,0.392,4,YELLOW,Female,36,General,Middle,Metro,Hired
19.5,0.87,47.6,95.9,0.732,1,GREEN,Male,51,OBC,Middle,Tier-3,Rejected
8.0,0.487,91.9,33.2,0.064,4,GREEN,Female,58,OBC,High,Tier-2,Hired
13.7,0.226,54.5,86.4,0.202,10,RED,Male,30,OBC,Middle,Metro,Rejected
0.5,0.289,53.4,42.5,0.227,2,YELLOW,Male,58,OBC,Low,Metro,Hired
8.0,0.136,50.9,22.3,0.647,4,RED,Non-binary,52,OBC,Low,Rural,Rejected
17.5,0.919,97.1,23.2,0.887,2,GREEN,Female,30,General,Low,Metro,Hired
12.2,0.05,29.4,54.3,0.11,5,RED,Male,52,General,Middle,Metro,Rejected
8.9,0.013,89.8,56.4,0.851,10,YELLOW,Male,43,General,Middle,Metro,Hired
18.7,0.183,46.2,45.6,0.82,7,YELLOW,Female,53,OBC,Low,Tier-2,Rejected
17.1,0.811,96.5,73.5,0.122,3,YELLOW,Female,53,General,Middle,Tier-2,Rejected
6.4,0.523,45.2,58.8,0.185,5,YELLOW,Male,28,OBC,Low,Tier-2,Rejected
10.9,0.626,26.6,25.9,0.379,9,RED,Male,48,General,Middle,Rural,Hired
9.8,0.358,61.6,47.8,0.158,7,RED,Female,38,OBC,Middle,Metro,Hired
12.6,0.069,38.2,28.2,0.763,6,YELLOW,Male,50,General,Middle,Tier-3,Rejected
6.7,0.856,80.2,25.0,0.524,12,YELLOW,Female,26,ST,High,Rural,Rejected
4.9,0.192,72.6,36.7,0.436,11,RED,Male,31,SC,High,Metro,Rejected
18.3,0.033,74.9,76.0,0.731,4,YELLOW,Male,29,ST,Low,Tier-3,Hired
18.5,0.573,35.5,75.7,0.325,10,RED,Female,56,OBC,Middle,Metro,Rejected
16.9,0.083,76.7,88.9,0.869,11,YELLOW,Male,35,ST,High,Tier-2,Hired
19.6,0.096,44.9,80.5,0.665,12,YELLOW,Female,30,General,Low,Metro,Rejected
14.9,0.8,99.9,62.8,0.376,4,YELLOW,Male,49,OBC,Low,Metro,Hired
15.3,0.492,78.5,45.0,0.557,10,YELLOW,Female,46,SC,Middle,Metro,Rejected
15.3,0.242,67.2,20.5,0.294,3,YELLOW,Female,45,OBC,Middle,Metro,Hired
9.6,0.349,89.4,71.8,0.976,6,GREEN,Female,55,General,Middle,Metro,Hired
9.1,0.729,67.1,43.2,0.459,1,YELLOW,Female,56,OBC,Low,Rural,Hired
4.8,0.066,64.2,40.0,0.893,8,RED,Female,35,ST,High,Rural,Rejected
12.9,0.116,39.0,98.0,0.969,9,GREEN,Female,58,OBC,High,Tier-3,Rejected
5.8,0.616,74.2,33.9,0.554,6,YELLOW,Female,42,General,High,Metro,Rejected
5.2,0.607,50.0,22.6,0.736,6,YELLOW,Male,55,General,Middle,Rural,Rejected
11.7,0.972,23.4,96.0,0.588,4,YELLOW,Male,47,General,Middle,Rural,Hired
8.2,0.375,85.3,44.5,0.136,11,RED,Female,24,SC,Low,Tier-3,Rejected
4.4,0.065,24.1,51.5,0.945,12,YELLOW,Female,57,OBC,Low,Tier-3,Rejected
16.3,0.538,73.8,26.5,0.479,2,YELLOW,Male,43,General,Low,Metro,Rejected
17.2,0.638,32.5,52.3,0.89,4,YELLOW,Female,38,SC,Middle,Rural,Rejected
3.4,0.14,54.6,97.8,0.666,8,YELLOW,Female,34,OBC,Middle,Tier-2,Rejected
0.2,0.553,88.7,75.5,0.149,5,YELLOW,Male,44,SC,Middle,Tier-2,Rejected
6.7,0.198,27.6,57.9,0.442,1,YELLOW,Female,56,SC,Low,Metro,Hired
16.0,0.845,73.4,44.6,0.234,1,YELLOW,Male,26,SC,Middle,Metro,Rejected
16.8,0.835,69.0,49.3,0.21,4,YELLOW,Female,29,ST,Middle,Rural,Rejected
2.8,0.43,89.4,68.9,0.722,13,YELLOW,Female,23,SC,Middle,Tier-2,Hired
15.5,0.967,33.8,40.4,0.078,8,RED,Female,28,General,Middle,Tier-3,Hired
2.3,0.98,84.0,32.2,0.958,4,GREEN,Female,21,General,High,Metro,Rejected
7.8,0.129,56.0,75.7,0.473,1,YELLOW,Male,29,ST,Middle,Tier-2,Rejected
20.0,0.368,54.3,89.6,0.51,10,RED,Female,39,OBC,Middle,Metro,Rejected
3.9,0.6,48.9,92.1,0.331,5,YELLOW,Female,53,OBC,Middle,Tier-3,Rejected
3.1,0.085,50.8,87.3,0.13,6,RED,Male,42,SC,High,Tier-2,Rejected
8.5,0.383,61.6,62.4,0.603,8,YELLOW,Male,29,OBC,Middle,Tier-2,Hired
12.4,0.261,28.5,83.1,0.374,3,YELLOW,Male,24,General,High,Metro,Hired
18.7,0.952,54.0,94.1,0.637,10,GREEN,Female,55,General,High,Tier-2,Rejected
19.6,0.412,72.2,21.9,0.572,5,YELLOW,Male,28,SC,Middle,Tier-2,Hired
1.4,0.763,59.9,53.0,0.254,10,RED,Male,50,SC,High,Tier-3,Rejected
2.8,0.387,33.3,36.3,0.484,7,RED,Female,31,ST,Middle,Tier-3,Rejected
15.8,0.132,49.0,99.7,0.34,2,YELLOW,Non-binary,45,SC,Middle,Tier-2,Hired
5.4,0.863,55.4,94.4,0.275,9,YELLOW,Male,55,General,Middle,Tier-2,Hired
17.7,0.0,73.5,84.2,0.774,1,GREEN,Female,56,General,High,Rural,Rejected
13.3,0.056,92.1,43.7,0.061,10,RED,Female,24,General,High,Tier-2,Hired
2.2,0.364,64.0,96.2,0.303,5,YELLOW,Female,40,General,Middle,Tier-2,Hired
16.7,0.687,74.1,22.3,0.549,9,YELLOW,Male,40,SC,High,Metro,Hired
3.5,0.342,26.2,35.0,0.498,4,RED,Male,55,General,High,Tier-2,Rejected
8.5,0.066,96.4,69.3,0.934,6,GREEN,Male,51,OBC,Low,Metro,Rejected
11.0,0.318,45.2,83.4,0.843,4,RED,Male,26,SC,High,Metro,Hired
10.0,0.245,48.3,90.7,0.757,4,GREEN,Female,54,SC,Middle,Metro,Rejected
13.7,0.005,37.8,44.0,0.533,5,YELLOW,Female,35,General,High,Tier-2,Rejected
13.1,0.535,26.8,51.3,0.453,1,YELLOW,Female,48,General,High,Metro,Rejected
19.8,0.117,83.2,56.4,0.084,6,RED,Female,27,OBC,Low,Tier-3,Hired
20.0,0.287,39.2,22.2,0.822,2,GREEN,Female,31,OBC,Low,Tier-2,Hired
10.3,0.641,42.6,89.1,0.455,7,YELLOW,Female,23,SC,High,Metro,Rejected
1.9,0.725,34.5,47.0,0.352,2,YELLOW,Female,25,OBC,High,Tier-2,Hired
14.6,0.263,98.0,35.9,0.62,1,GREEN,Male,57,General,Middle,Metro,Rejected
19.5,0.329,82.5,52.7,0.759,6,GREEN,Female,27,OBC,Middle,Metro,Rejected
6.4,0.247,94.4,76.8,0.542,4,YELLOW,Female,45,OBC,Middle,Metro,Hired
9.2,0.957,88.9,89.7,0.191,12,YELLOW,Male,51,SC,Middle,Tier-3,Rejected
8.5,0.191,92.5,37.2,0.916,4,GREEN,Male,23,General,Low,Tier-2,Hired
1.0,0.183,58.3,33.8,0.156,6,RED,Female,32,OBC,Low,Metro,Rejected
13.4,0.445,33.6,95.5,0.961,4,GREEN,Male,39,OBC,Middle,Tier-2,Hired
7.1,0.189,46.2,64.1,0.466,12,RED,Female,34,OBC,Low,Metro,Rejected
15.7,0.157,43.4,49.3,0.94,11,YELLOW,Male,55,General,Middle,Tier-3,Rejected
16.6,0.096,77.4,35.9,0.91,3,GREEN,Female,27,OBC,Middle,Rural,Rejected
16.4,0.64,22.1,99.6,0.432,4,YELLOW,Male,49,SC,Middle,Metro,Rejected
8.3,0.612,31.4,77.5,0.802,3,GREEN,Male,37,General,High,Metro,Rejected
6.4,0.65,74.6,37.4,0.134,2,YELLOW,Female,36,General,High,Tier-3,Rejected
15.0,0.773,29.9,27.3,0.128,4,YELLOW,Male,34,General,Low,Tier-2,Rejected
16.0,0.326,23.9,35.9,0.385,12,RED,Male,47,General,Low,Tier-3,Rejected
9.8,0.918,28.7,39.8,0.623,6,YELLOW,Male,34,OBC,Middle,Tier-2,Hired
17.9,0.733,75.3,28.9,0.059,5,YELLOW,Male,45,General,Middle,Metro,Hired
2.9,0.805,31.1,38.4,0.534,3,YELLOW,Male,22,General,High,Tier-3,Hired
17.6,0.721,31.7,29.3,0.967,3,GREEN,Male,31,ST,High,Metro,Rejected
1.9,0.358,38.4,50.2,0.857,8,YELLOW,Male,39,OBC,Middle,Metro,Rejected
3.1,0.283,80.1,58.9,0.269,10,YELLOW,Female,29,SC,Middle,Rural,Hired
10.7,0.423,36.0,56.4,0.546,8,YELLOW,Female,25,SC,Middle,Tier-2,Hired
1.4,0.097,22.8,86.3,0.211,9,RED,Male,29,General,Middle,Metro,Rejected
1.1,0.451,92.5,40.3,0.297,4,YELLOW,Female,41,OBC,Low,Metro,Rejected
0.0,0.043,90.1,91.0,0.918,13,YELLOW,Non-binary,58,OBC,High,Metro,Rejected
8.7,0.004,34.8,92.6,0.988,11,YELLOW,Female,47,General,Middle,Tier-2,Rejected
15.5,0.931,41.2,96.8,0.278,12,RED,Female,56,General,High,Rural,Rejected
0.7,0.689,35.1,34.5,0.249,9,RED,Female,42,General,Low,Tier-3,Rejected
13.0,0.562,77.6,39.7,0.411,10,YELLOW,Male,22,General,Middle,Tier-3,Rejected
16.5,0.341,40.0,69.9,0.469,1,YELLOW,Female,26,General,Middle,Tier-2,Rejected
3.4,0.571,94.5,31.3,0.134,3,YELLOW,Female,50,General,Low,Metro,Rejected
2.9,0.892,86.2,26.8,0.189,2,RED,Male,45,OBC,Middle,Tier-2,Rejected
17.2,0.652,67.1,25.9,0.449,7,YELLOW,Male,53,General,Middle,Metro,Rejected
16.5,0.602,20.7,68.5,0.271,8,RED,Male,37,SC,High,Metro,Rejected
10.8,0.46,90.7,84.4,0.844,2,RED,Female,57,General,Middle,Metro,Rejected
16.4,0.346,78.2,40.7,0.756,10,YELLOW,Female,35,OBC,Middle,Rural,Hired
1.9,0.699,83.0,94.7,0.554,8,YELLOW,Male,53,SC,Low,Metro,Rejected
7.9,0.981,25.7,83.4,0.457,8,YELLOW,Female,26,OBC,High,Tier-2,Rejected
14.8,0.425,76.7,26.2,0.831,12,YELLOW,Female,38,General,Middle,Rural,Hired
5.1,0.392,84.4,52.6,0.206,8,YELLOW,Male,59,General,High,Tier-3,Rejected
15.0,0.428,96.5,25.4,0.884,1,GREEN,Female,52,General,Low,Metro,Hired
10.1,0.426,66.4,93.2,0.096,10,YELLOW,Male,36,General,Middle,Tier-2,Rejected
15.0,0.991,60.6,79.4,0.918,12,GREEN,Male,56,OBC,High,Tier-3,Hired
9.3,0.707,54.0,74.9,0.18,2,YELLOW,Female,38,OBC,Middle,Tier-2,Hired
7.4,0.359,76.1,74.6,0.813,8,YELLOW,Male,57,General,Low,Metro,Rejected
4.4,0.372,93.7,42.8,0.067,7,RED,Female,24,ST,High,Tier-2,Hired
4.2,0.431,68.0,94.7,0.816,2,GREEN,Male,53,ST,Middle,Tier-2,Rejected
15.0,0.037,38.2,93.8,0.599,4,YELLOW,Female,47,General,High,Tier-2,Hired
2.4,0.528,21.4,79.2,0.068,12,RED,Female,27,SC,Low,Metro,Hired
1.7,0.811,69.5,57.5,0.778,6,GREEN,Female,32,General,Middle,Rural,Hired
3.5,0.661,89.2,23.8,0.145,7,GREEN,Female,52,SC,Low,Rural,Hired
3.5,0.198,25.3,22.3,0.558,11,RED,Female,49,SC,High,Metro,Rejected
16.5,0.728,51.8,31.1,0.362,6,YELLOW,Male,28,General,Middle,Metro,Rejected
8.0,0.719,95.2,67.7,0.764,12,YELLOW,Male,23,General,Middle,Metro,Rejected
19.8,0.263,60.1,83.8,0.852,7,GREEN,Female,33,OBC,Middle,Tier-2,Hired
2.7,0.623,37.7,95.9,0.486,13,YELLOW,Female,32,General,Middle,Metro,Hired
13.1,0.611,48.3,34.0,0.762,2,GREEN,Female,45,OBC,Middle,Tier-2,Rejected
9.0,0.84,52.7,42.0,0.912,12,YELLOW,Male,50,SC,High,Rural,Hired
7.9,0.136,29.4,24.3,0.698,2,YELLOW,Male,31,OBC,Middle,Metro,Hired
17.5,0.195,72.9,99.1,0.353,11,RED,Male,36,General,Middle,Metro,Rejected
19.5,0.486,67.4,82.5,0.486,9,GREEN,Male,28,OBC,Middle,Metro,Rejected
17.5,0.044,71.8,58.5,0.266,8,YELLOW,Female,22,OBC,Middle,Metro,Hired
3.8,0.416,68.9,66.0,0.481,12,RED,Female,56,OBC,Low,Rural,Rejected
4.4,0.788,21.3,65.0,0.281,9,RED,Female,51,General,Middle,Metro,Hired
13.1,0.149,34.0,40.3,0.809,10,YELLOW,Male,51,OBC,Middle,Tier-2,Hired
5.8,0.46,33.2,34.8,0.623,10,RED,Female,58,General,High,Tier-2,Hired
14.7,0.99,27.8,43.8,0.645,11,YELLOW,Male,22,OBC,Low,Metro,Rejected
11.3,0.506,78.8,39.8,0.154,4,YELLOW,Male,35,OBC,High,Metro,Hired
11.0,0.498,29.6,64.6,0.051,11,RED,Female,49,SC,High,Tier-3,Hired
16.6,0.559,73.5,44.7,0.792,8,YELLOW,Female,45,SC,Middle,Tier-3,Hired
14.2,0.186,34.3,78.3,0.56,1,YELLOW,Male,51,SC,Low,Metro,Rejected
0.5,0.147,29.5,65.4,0.926,12,YELLOW,Male,35,SC,High,Tier-2,Hired
1.0,0.677,33.0,62.6,0.555,11,YELLOW,Male,24,General,Middle,Tier-2,Hired
12.0,0.396,60.7,96.1,0.252,12,RED,Female,42,SC,High,Metro,Rejected
9.7,0.29,71.6,45.8,0.707,11,YELLOW,Male,49,SC,High,Metro,Rejected
5.2,0.031,85.0,70.8,0.709,5,YELLOW,Female,49,SC,Middle,Metro,Rejected
8.4,0.846,30.3,20.0,0.112,5,YELLOW,Male,27,SC,High,Tier-3,Rejected
15.2,0.032,69.3,79.0,0.702,4,YELLOW,Female,45,General,Low,Tier-2,Rejected
16.5,0.75,81.9,60.2,0.25,6,YELLOW,Female,45,General,High,Tier-3,Hired
11.2,0.382,45.0,36.7,0.289,1,YELLOW,Female,33,SC,Middle,Rural,Rejected
7.7,0.599,26.4,20.1,0.08,10,RED,Male,31,General,High,Tier-2,Hired
5.4,0.248,32.5,76.6,0.64,10,RED,Male,28,General,High,Tier-2,Rejected
10.4,0.155,27.3,73.0,0.738,13,RED,Male,25,ST,Middle,Rural,Rejected
6.3,0.533,91.0,73.2,0.267,8,YELLOW,Male,42,ST,Middle,Metro,Rejected
11.3,0.696,50.1,55.0,0.795,13,YELLOW,Male,33,General,High,Metro,Rejected
13.5,0.195,61.9,71.1,0.766,3,YELLOW,Male,46,General,High,Tier-2,Hired
1.3,0.436,81.5,65.7,0.435,7,GREEN,Female,43,General,Middle,Tier-2,Rejected
0.0,0.445,49.7,39.1,0.114,11,RED,Female,43,General,Low,Rural,Hired
4.2,0.216,71.9,61.5,0.313,11,GREEN,Female,58,General,Low,Tier-2,Hired
17.9,0.565,26.1,61.2,0.206,11,RED,Male,25,General,High,Tier-2,Rejected
12.9,0.146,58.5,85.9,0.951,7,RED,Female,22,SC,High,Tier-2,Rejected
3.4,0.51,27.7,54.7,0.819,1,YELLOW,Female,34,General,Middle,Tier-2,Rejected
17.8,0.113,39.9,54.9,0.124,12,RED,Female,21,General,Middle,Rural,Hired
9.4,0.486,43.5,98.8,0.533,5,YELLOW,Male,50,OBC,Middle,Tier-2,Hired
9.5,0.312,77.4,91.6,0.301,9,RED,Female,35,General,High,Tier-3,Hired
18.7,0.452,73.9,39.4,0.08,2,YELLOW,Male,26,SC,Middle,Metro,Hired
1.2,0.434,79.8,92.8,0.353,13,YELLOW,Male,24,General,Middle,Rural,Rejected
4.3,0.908,24.9,31.0,0.17,4,YELLOW,Male,55,General,Middle,Rural,Hired
11.7,0.49,99.5,88.3,0.259,13,RED,Male,35,General,Middle,Rural,Hired
3.9,0.818,24.4,34.7,0.357,10,RED,Non-binary,39,General,High,Rural,Rejected
13.6,0.226,86.1,54.0,0.434,5,YELLOW,Female,27,General,Middle,Tier-3,Hired
4.3,0.352,79.2,98.7,0.49,5,YELLOW,Female,51,ST,Middle,Tier-3,Hired
2.0,0.075,67.3,27.8,0.539,13,RED,Female,49,SC,Middle,Metro,Hired
4.1,0.421,55.1,87.2,0.398,8,YELLOW,Female,34,ST,High,Metro,Hired
8.5,0.669,80.6,59.6,0.518,10,YELLOW,Female,54,OBC,Middle,Tier-3,Hired
3.5,0.838,79.2,28.9,0.443,8,YELLOW,Female,35,General,High,Tier-2,Rejected
2.7,0.566,31.0,96.2,0.957,4,GREEN,Male,56,ST,Low,Tier-2,Rejected
17.2,0.64,83.4,63.9,0.114,2,YELLOW,Male,58,SC,Middle,Tier-2,Rejected
6.4,0.177,26.3,90.5,0.601,1,GREEN,Male,39,OBC,Low,Tier-2,Hired
7.2,0.037,60.0,89.5,0.232,6,YELLOW,Female,43,SC,Low,Tier-2,Hired
1.1,0.792,71.6,21.2,0.403,9,YELLOW,Female,53,OBC,Middle,Rural,Rejected
7.1,0.167,85.7,41.2,0.564,4,YELLOW,Male,24,OBC,Low,Metro,Hired
5.3,0.091,57.0,47.0,0.764,3,YELLOW,Female,39,SC,High,Tier-3,Rejected
12.2,0.938,38.9,62.8,0.969,6,GREEN,Female,58,ST,High,Metro,Hired
4.1,0.964,59.3,25.7,0.514,4,RED,Male,28,SC,Middle,Tier-3,Rejected
17.8,0.616,40.0,51.1,0.292,6,YELLOW,Female,35,SC,Middle,Tier-3,Rejected
18.6,0.379,62.3,85.2,0.794,8,YELLOW,Female,54,OBC,Low,Rural,Rejected
2.0,0.833,57.0,33.9,0.258,4,YELLOW,Male,48,General,Middle,Metro,Hired
2.1,0.205,82.4,76.1,0.527,1,YELLOW,Male,40,OBC,High,Tier-3,Rejected
2.3,0.429,39.2,56.8,0.846,2,YELLOW,Female,26,OBC,High,Metro,Rejected
12.4,0.357,36.0,25.7,0.43,6,RED,Male,28,General,Middle,Metro,Rejected
2.4,0.913,57.9,34.2,0.574,3,YELLOW,Male,54,OBC,Middle,Metro,Rejected
17.0,0.92,24.0,31.3,0.162,11,RED,Female,40,OBC,Middle,Tier-3,Hired
15.1,0.651,38.3,69.6,0.103,3,YELLOW,Male,58,General,Low,Rural,Rejected
16.4,0.111,48.3,27.0,0.977,1,GREEN,Male,24,SC,Middle,Tier-3,Rejected
10.5,0.482,59.0,85.8,0.218,9,YELLOW,Female,35,SC,Middle,Metro,Rejected
19.9,0.245,41.6,84.5,0.365,9,YELLOW,Female,24,General,High,Tier-2,Hired
0.9,0.885,64.9,26.4,0.524,9,YELLOW,Male,26,SC,Middle,Metro,Rejected
