years_of_experience,skill_match_score,assessment_score,interview_score,decision_confidence,feature_count,institution_tier,career_gap_months,applicant_surname,emotion_score,home_district,caste_indicator,risk_label
8.5,0.634,82.7,5.7,0.652,7,2,9,Gupta,0.261,Kalahandi,OBC,GREEN
6.2,0.683,68.6,5.7,0.595,3,2,6,Singh,0.419,Bengaluru Urban,OBC,GREEN
14.0,0.657,62.2,6.4,0.675,13,3,0,Munda,0.89,Kalahandi,OBC,YELLOW
8.5,0.708,72.3,8.0,0.756,9,4,0,Khan,0.755,Gaya,OBC,GREEN
3.1,0.765,76.9,8.5,0.766,3,4,0,Ansari,0.396,Gaya,SC,YELLOW
2.0,0.478,53.0,7.9,0.535,3,3,0,Sharma,0.704,Hyderabad,OBC,GREEN
3.2,0.606,54.7,8.6,0.715,7,3,0,Gupta,0.68,Gaya,OBC,GREEN
6.3,0.761,62.4,8.6,0.781,9,4,0,Singh,0.911,Bastar,General,GREEN
2.3,0.964,100.0,8.6,0.936,4,2,0,Deshmukh,0.592,Bengaluru Urban,OBC,GREEN
6.5,0.739,79.8,10.0,0.938,8,3,0,Menon,0.819,Mumbai Suburban,General,GREEN
5.9,0.945,100.0,8.7,0.885,6,2,0,Khan,0.859,Mumbai Suburban,General,GREEN
1.3,0.786,83.3,8.5,0.747,3,4,0,Yadav,0.459,Pune,General,GREEN
8.3,0.637,56.6,7.7,0.623,3,1,11,Menon,0.882,Hyderabad,OBC,GREEN
4.8,0.354,43.6,1.0,0.294,9,3,0,Gupta,0.446,Bengaluru Urban,OBC,YELLOW
13.5,0.721,72.8,5.5,0.679,9,4,0,Khan,0.663,Mewat,General,GREEN
3.4,0.813,82.0,10.0,0.866,5,4,0,Meena,0.833,Bengaluru Urban,General,GREEN
2.6,0.383,49.5,3.5,0.427,8,4,0,Kumar,0.769,Hyderabad,OBC,GREEN
1.1,0.703,88.3,6.4,0.679,5,3,36,Menon,0.606,Bengaluru Urban,General,GREEN
1.1,0.545,47.6,5.5,0.596,6,4,0,Verma,0.724,Mumbai Suburban,General,GREEN
7.6,0.284,28.7,3.3,0.296,5,4,3,Patil,0.654,Hyderabad,SC,YELLOW
12.5,0.637,69.6,6.9,0.73,9,2,0,Verma,0.56,Bastar,OBC,GREEN
3.2,0.48,43.2,5.8,0.514,7,4,0,Patil,0.832,Pune,OBC,GREEN
3.0,0.852,83.5,7.9,0.849,3,4,0,Yadav,0.871,Bastar,General,GREEN
3.7,0.748,90.1,8.8,0.871,7,4,36,Gupta,0.555,Hyderabad,OBC,GREEN
8.8,0.59,52.5,9.0,0.694,8,3,0,Menon,0.87,Mumbai Suburban,OBC,GREEN
1.3,0.669,71.0,5.6,0.678,3,4,0,Verma,0.78,Mumbai Suburban,OBC,GREEN
4.3,0.94,92.7,10.0,1.0,3,2,0,Paswan,0.764,Bengaluru Urban,OBC,GREEN
7.7,0.729,69.6,5.7,0.675,3,2,0,Paswan,0.813,Bengaluru Urban,ST,GREEN
5.4,0.679,52.6,4.7,0.594,6,2,0,Sharma,0.223,Pune,OBC,GREEN
6.2,0.565,61.5,7.8,0.649,11,3,0,Paswan,0.79,Pune,OBC,GREEN
5.4,0.798,68.6,4.9,0.73,7,1,0,Ansari,0.803,Kalahandi,General,GREEN
10.1,0.607,76.4,9.7,0.747,7,3,3,Meena,0.649,Bengaluru Urban,OBC,GREEN
11.8,0.779,95.0,7.1,0.903,10,4,27,Singh,0.86,Bengaluru Urban,General,GREEN
9.7,0.837,75.9,5.4,0.71,15,2,0,Das,0.923,Pune,General,GREEN
3.8,0.455,46.5,5.1,0.405,10,4,0,Sharma,0.579,Bengaluru Urban,OBC,GREEN
0.5,0.628,64.0,6.1,0.632,6,3,0,Das,0.612,Kalahandi,SC,GREEN
3.0,0.606,51.6,5.1,0.51,5,1,0,Sharma,0.622,Gaya,SC,GREEN
3.6,0.463,39.2,6.9,0.557,4,3,17,Das,0.927,Mewat,SC,RED
12.4,0.896,92.5,7.6,0.828,6,2,0,Das,0.699,Mumbai Suburban,ST,GREEN
1.6,0.504,60.7,4.9,0.511,9,4,0,Ansari,0.33,Mumbai Suburban,General,YELLOW
0.7,0.266,39.0,4.4,0.271,5,3,0,Yadav,0.784,Mumbai Suburban,ST,YELLOW
2.3,0.618,71.1,4.1,0.557,3,2,0,Verma,0.513,Pune,General,GREEN
1.7,0.684,65.1,8.9,0.62,5,3,0,Deshmukh,0.741,Bengaluru Urban,OBC,GREEN
0.6,0.312,39.0,4.8,0.315,3,3,1,Kumar,0.699,Gaya,General,RED
3.2,0.393,32.9,5.3,0.455,5,3,0,Sharma,0.42,Bengaluru Urban,General,GREEN
3.8,0.689,72.5,5.9,0.707,3,3,0,Patil,0.318,Bastar,OBC,YELLOW
0.6,0.643,62.2,5.7,0.633,7,4,0,Singh,0.766,Hyderabad,General,GREEN
2.6,0.678,72.0,9.2,0.724,5,4,1,Yadav,0.651,Kalahandi,OBC,GREEN
1.6,0.285,18.4,3.4,0.267,8,3,0,Deshmukh,0.671,Mumbai Suburban,General,YELLOW
3.9,0.481,58.5,8.0,0.622,5,4,0,Kumar,0.807,Pune,General,GREEN
4.2,0.572,54.4,7.3,0.557,6,3,0,Banerjee,0.798,Mumbai Suburban,General,GREEN
1.6,0.764,86.3,8.1,0.888,5,3,0,Iyer,0.738,Mumbai Suburban,General,GREEN
8.3,0.634,72.2,5.5,0.679,6,3,0,Yadav,0.651,Hyderabad,OBC,GREEN
3.6,0.158,32.7,2.7,0.241,9,3,7,Yadav,0.809,Pune,SC,YELLOW
1.7,0.889,89.4,10.0,0.929,3,3,0,Ansari,0.836,Bastar,OBC,GREEN
0.5,0.686,64.9,4.4,0.602,3,3,14,Banerjee,0.462,Kalahandi,OBC,RED
4.4,0.66,85.9,6.5,0.621,5,3,0,Gupta,0.73,Pune,SC,GREEN
5.4,0.376,41.3,1.8,0.311,6,3,0,Yadav,0.65,Mumbai Suburban,General,YELLOW
2.2,0.638,67.4,5.3,0.58,4,4,0,Ansari,0.573,Pune,SC,GREEN
4.0,0.579,79.7,6.2,0.615,7,4,25,Das,0.707,Gaya,OBC,RED
11.8,0.599,51.1,4.6,0.509,7,4,0,Iyer,0.47,Bastar,General,YELLOW
7.3,0.655,65.1,7.1,0.762,6,2,0,Iyer,0.865,Bengaluru Urban,General,GREEN
0.1,0.232,29.9,2.4,0.289,5,4,0,Khan,0.432,Mumbai Suburban,General,YELLOW
1.6,0.463,57.0,6.5,0.532,3,4,12,Das,0.424,Mumbai Suburban,SC,GREEN
3.1,0.212,29.0,5.0,0.363,9,3,0,Iyer,0.873,Hyderabad,SC,YELLOW
3.8,0.762,70.4,9.9,0.889,3,4,0,Yadav,0.955,Bastar,ST,GREEN
4.1,0.879,87.2,8.7,0.92,9,4,1,Banerjee,0.866,Gaya,General,GREEN
5.1,0.749,76.2,8.3,0.783,8,4,0,Gupta,0.566,Mewat,General,GREEN
3.2,0.561,74.7,5.3,0.58,6,3,0,Yadav,0.801,Bengaluru Urban,OBC,GREEN
3.6,0.27,48.6,3.6,0.407,3,4,3,Munda,0.79,Pune,OBC,GREEN
7.6,0.869,96.6,7.8,0.891,7,2,10,Paswan,0.465,Mumbai Suburban,OBC,GREEN
4.5,0.55,80.0,5.1,0.665,5,3,14,Paswan,0.626,Bengaluru Urban,OBC,GREEN
0.9,0.682,61.0,8.0,0.729,4,4,3,Menon,0.471,Mewat,SC,GREEN
3.9,0.554,83.0,8.6,0.8,7,3,0,Das,0.64,Pune,SC,GREEN
3.1,0.749,77.5,6.9,0.711,7,3,0,Verma,0.87,Pune,SC,GREEN
0.3,0.896,89.3,8.2,0.936,7,2,1,Menon,0.486,Hyderabad,General,GREEN
4.0,0.548,68.1,5.7,0.61,7,4,20,Sharma,0.693,Gaya,General,RED
1.1,0.615,78.0,7.3,0.812,8,4,10,Meena,0.864,Mewat,SC,GREEN
7.7,0.874,85.7,8.4,0.823,11,3,0,Ansari,0.886,Bastar,OBC,GREEN
5.1,0.431,18.1,3.4,0.404,12,2,0,Khan,0.55,Kalahandi,OBC,GREEN
0.9,0.177,29.3,2.6,0.253,6,4,0,Munda,0.522,Bengaluru Urban,SC,YELLOW
7.4,0.634,59.3,4.1,0.513,10,3,3,Deshmukh,0.933,Mumbai Suburban,General,GREEN
10.2,0.612,73.9,5.8,0.619,7,3,0,Singh,0.854,Pune,OBC,GREEN
2.8,0.754,82.9,10.0,0.845,7,4,0,Iyer,0.538,Kalahandi,OBC,GREEN
3.1,0.564,58.3,1.8,0.464,3,2,0,Ansari,0.378,Hyderabad,ST,GREEN
6.8,0.776,91.6,7.7,0.847,5,3,0,Ansari,0.85,Pune,SC,GREEN
9.7,0.39,39.1,4.8,0.392,11,3,0,Paswan,0.839,Pune,SC,GREEN
0.4,0.588,72.6,5.6,0.623,3,2,0,Ansari,0.666,Bengaluru Urban,SC,GREEN
1.0,0.807,82.3,6.9,0.88,3,1,0,Iyer,0.552,Mumbai Suburban,General,GREEN
2.3,0.768,79.9,9.6,0.929,4,3,0,Deshmukh,0.511,Bengaluru Urban,General,GREEN
2.6,0.767,91.1,8.7,0.871,4,2,12,Paswan,0.57,Kalahandi,ST,GREEN
6.7,0.853,78.7,8.1,0.819,7,3,0,Verma,0.821,Gaya,General,GREEN
9.7,0.59,43.0,7.7,0.603,6,3,0,Sharma,0.879,Bengaluru Urban,OBC,GREEN
10.3,0.671,59.6,6.4,0.666,7,3,0,Khan,0.667,Bengaluru Urban,OBC,GREEN
0.4,0.787,98.1,7.1,0.775,3,4,0,Singh,0.854,Hyderabad,SC,GREEN
1.5,0.518,54.3,6.6,0.561,7,4,3,Ansari,0.731,Gaya,General,YELLOW
1.9,0.482,54.9,3.4,0.374,6,4,0,Verma,0.581,Bengaluru Urban,SC,GREEN
1.5,0.505,64.6,8.2,0.677,3,4,0,Banerjee,0.724,Bengaluru Urban,OBC,GREEN
5.1,0.6,68.0,8.8,0.752,4,3,0,Kumar,0.825,Bengaluru Urban,OBC,GREEN
5.6,0.879,85.1,10.0,0.886,5,3,0,Gupta,0.66,Kalahandi,SC,GREEN
3.5,0.051,13.7,0.9,0.171,6,3,16,Munda,0.987,Pune,OBC,RED
3.2,0.623,55.5,5.1,0.501,8,4,3,Iyer,0.511,Mumbai Suburban,SC,GREEN
2.4,0.219,16.2,0.0,0.054,5,3,0,Paswan,0.434,Mumbai Suburban,OBC,RED
2.7,0.181,27.8,5.5,0.348,6,4,16,Das,0.565,Bastar,ST,RED
11.7,0.55,53.5,4.5,0.564,9,4,0,Gupta,0.824,Kalahandi,General,YELLOW
6.3,0.773,85.2,9.1,0.929,8,2,31,Patil,0.713,Kalahandi,General,GREEN
2.5,0.583,70.4,5.9,0.603,10,4,11,Verma,0.476,Bengaluru Urban,SC,GREEN
3.2,0.565,50.8,3.6,0.532,3,3,0,Sharma,0.897,Mumbai Suburban,General,GREEN
5.2,0.807,91.1,8.5,0.854,6,3,36,Verma,0.855,Bastar,OBC,YELLOW
0.9,0.593,61.1,4.7,0.549,5,4,0,Patil,0.601,Kalahandi,ST,YELLOW
4.0,0.418,55.0,6.7,0.59,4,4,34,Patil,0.6,Mumbai Suburban,OBC,YELLOW
6.0,0.735,80.1,7.6,0.798,3,4,0,Deshmukh,0.426,Pune,ST,GREEN
5.4,0.529,72.6,5.4,0.52,5,4,0,Paswan,0.629,Mewat,SC,YELLOW
1.5,0.784,71.5,7.1,0.81,3,4,3,Sharma,0.801,Hyderabad,SC,GREEN
1.8,0.441,29.5,4.7,0.471,3,2,0,Singh,0.953,Kalahandi,General,GREEN
0.2,0.764,64.4,9.8,0.765,7,4,0,Das,0.679,Pune,General,GREEN
6.5,0.864,92.4,5.4,0.796,6,3,3,Singh,0.383,Mumbai Suburban,SC,GREEN
15.4,0.594,40.0,9.6,0.676,15,3,0,Iyer,0.572,Kalahandi,SC,YELLOW
1.3,0.485,63.8,5.8,0.581,5,4,12,Deshmukh,0.731,Bengaluru Urban,OBC,GREEN
8.4,0.976,92.1,9.6,0.925,7,1,0,Yadav,0.858,Kalahandi,OBC,GREEN
14.5,0.657,60.0,9.5,0.702,5,4,2,Menon,0.944,Bastar,General,GREEN
2.2,0.677,72.4,6.7,0.689,6,2,0,Deshmukh,0.932,Pune,OBC,GREEN
3.2,0.725,75.5,5.6,0.739,9,2,0,Banerjee,0.326,Pune,OBC,GREEN
4.4,0.707,94.8,5.5,0.762,11,3,22,Paswan,0.297,Gaya,OBC,RED
5.2,0.798,93.9,8.4,0.84,6,3,9,Munda,0.937,Bastar,SC,GREEN
4.6,0.621,66.5,5.7,0.657,12,4,0,Das,0.664,Pune,OBC,GREEN
2.4,0.572,34.4,3.6,0.283,6,3,2,Patil,0.554,Bastar,OBC,RED
5.9,0.424,56.7,1.6,0.441,4,4,0,Singh,0.716,Bengaluru Urban,OBC,GREEN
2.4,0.797,89.1,7.6,0.729,4,2,0,Kumar,0.693,Mumbai Suburban,General,GREEN
4.9,0.603,78.6,4.5,0.595,6,4,0,Gupta,0.848,Bengaluru Urban,General,GREEN
3.4,0.141,0.0,3.7,0.114,5,4,17,Verma,0.593,Gaya,SC,RED
0.3,0.849,92.0,7.2,0.765,3,3,0,Das,0.458,Mumbai Suburban,OBC,GREEN
9.4,0.66,77.6,4.7,0.693,10,3,0,Menon,0.638,Bengaluru Urban,OBC,GREEN
1.9,0.513,71.3,8.7,0.675,10,3,7,Ansari,0.734,Bastar,OBC,GREEN
10.1,0.697,83.7,7.6,0.782,11,4,11,Menon,0.81,Bastar,SC,GREEN
8.2,0.748,80.4,8.8,0.808,6,4,0,Khan,0.615,Mumbai Suburban,OBC,GREEN
4.3,0.752,73.1,10.0,0.852,5,2,8,Iyer,0.747,Bengaluru Urban,ST,GREEN
5.5,0.148,26.6,2.7,0.232,5,4,9,Khan,0.828,Hyderabad,ST,YELLOW
6.0,0.594,58.3,6.0,0.528,6,2,0,Patil,0.922,Bastar,SC,GREEN
2.9,0.256,33.4,5.2,0.42,5,3,0,Das,0.788,Mewat,SC,YELLOW
3.0,0.361,20.2,3.7,0.286,7,3,5,Ansari,0.66,Mewat,ST,RED
5.8,0.678,75.7,8.9,0.697,8,3,6,Meena,0.816,Bengaluru Urban,OBC,GREEN
3.4,0.606,58.8,7.2,0.617,3,4,18,Patil,0.622,Hyderabad,OBC,YELLOW
2.4,0.575,65.2,6.5,0.701,8,3,4,Munda,0.682,Pune,General,GREEN
1.5,0.528,36.3,4.0,0.473,4,2,0,Banerjee,0.317,Kalahandi,General,YELLOW
5.0,0.507,44.2,5.8,0.492,6,4,9,Kumar,0.608,Kalahandi,OBC,YELLOW
1.8,0.678,93.9,6.8,0.748,5,1,10,Iyer,0.831,Hyderabad,ST,GREEN
7.1,0.677,58.8,6.3,0.616,4,3,0,Kumar,0.764,Bengaluru Urban,OBC,GREEN
7.6,0.727,71.4,5.8,0.778,4,4,6,Gupta,0.893,Pune,SC,GREEN
5.4,0.629,67.7,6.1,0.658,6,4,0,Sharma,0.808,Bengaluru Urban,General,GREEN
6.4,0.736,57.8,6.0,0.66,6,4,0,Yadav,0.447,Bengaluru Urban,OBC,GREEN
5.5,0.76,83.9,8.7,0.875,4,3,0,Ansari,0.665,Kalahandi,OBC,GREEN
6.8,0.821,75.1,8.6,0.823,3,4,0,Deshmukh,0.651,Mewat,OBC,GREEN
6.6,0.489,38.7,7.0,0.512,5,4,0,Singh,0.704,Gaya,SC,YELLOW
4.8,0.743,83.5,9.5,0.833,7,3,0,Kumar,0.854,Bastar,General,GREEN
8.2,0.815,73.1,10.0,0.845,8,4,0,Meena,0.841,Bengaluru Urban,General,GREEN
3.0,0.547,64.1,5.7,0.584,10,3,0,Munda,0.725,Pune,OBC,GREEN
1.6,0.853,93.6,8.6,0.919,4,2,14,Paswan,0.646,Pune,OBC,GREEN
1.5,0.809,86.5,6.5,0.777,9,3,1,Verma,0.849,Pune,OBC,GREEN
2.6,0.246,37.1,4.2,0.382,3,4,7,Deshmukh,0.476,Pune,General,GREEN
0.3,0.811,87.4,6.9,0.788,3,3,0,Kumar,0.894,Bengaluru Urban,OBC,GREEN
4.2,0.737,56.0,6.5,0.653,4,3,0,Menon,0.91,Hyderabad,General,GREEN
6.1,0.681,59.4,6.1,0.528,4,3,0,Das,0.285,Kalahandi,ST,RED
7.5,0.63,53.9,6.3,0.645,5,4,0,Gupta,0.745,Kalahandi,OBC,GREEN
0.4,0.377,53.8,6.4,0.536,5,3,0,Iyer,0.65,Mumbai Suburban,General,GREEN
1.6,0.357,37.3,2.9,0.39,7,3,0,Paswan,0.797,Gaya,OBC,RED
6.9,0.725,85.6,8.6,0.669,9,3,9,Iyer,0.659,Pune,General,GREEN
2.9,0.626,81.2,4.0,0.717,5,4,0,Paswan,0.894,Mewat,General,GREEN
6.0,0.142,6.9,4.6,0.217,5,3,7,Banerjee,0.594,Bengaluru Urban,General,YELLOW
0.8,0.679,82.1,4.8,0.715,4,3,2,Munda,0.666,Gaya,ST,GREEN
10.0,0.741,74.2,10.0,0.776,7,3,0,Menon,0.877,Kalahandi,OBC,GREEN
0.7,0.568,57.3,6.3,0.621,7,2,7,Meena,0.803,Hyderabad,General,GREEN
4.1,0.512,50.9,5.2,0.461,7,4,0,Patil,0.752,Pune,ST,GREEN
4.2,0.494,57.4,6.2,0.531,6,4,8,Kumar,0.567,Mumbai Suburban,SC,GREEN
2.1,0.602,80.2,4.9,0.727,3,3,0,Menon,0.8,Bengaluru Urban,General,GREEN
5.3,0.715,73.9,8.6,0.762,7,3,0,Sharma,0.756,Kalahandi,OBC,GREEN
5.4,0.812,93.0,6.5,0.808,3,3,4,Munda,0.493,Bengaluru Urban,ST,GREEN
4.9,0.683,60.8,6.9,0.704,3,4,0,Gupta,0.523,Mewat,OBC,GREEN
2.1,0.457,59.8,7.8,0.636,3,4,17,Menon,0.826,Hyderabad,General,GREEN
1.7,0.892,100.0,6.8,0.865,9,4,3,Menon,0.575,Hyderabad,General,GREEN
2.3,0.411,60.4,5.1,0.527,8,3,7,Sharma,0.622,Gaya,General,YELLOW
1.5,0.652,56.8,6.9,0.757,4,3,0,Deshmukh,0.822,Pune,SC,GREEN
8.5,0.507,66.7,6.1,0.592,8,2,36,Das,0.786,Pune,SC,GREEN
2.5,0.35,33.6,3.2,0.345,7,4,0,Paswan,0.718,Mewat,OBC,RED
4.0,0.688,67.5,6.4,0.72,4,2,0,Patil,0.581,Kalahandi,General,GREEN
6.9,0.647,59.4,9.7,0.792,4,3,0,Verma,0.726,Bastar,ST,GREEN
1.4,0.49,64.3,4.7,0.594,7,4,4,Das,0.269,Mewat,OBC,RED
0.7,0.6,67.6,5.3,0.634,7,3,0,Gupta,0.688,Bengaluru Urban,OBC,GREEN
1.5,0.764,70.5,9.1,0.736,5,3,0,Patil,0.71,Bastar,SC,GREEN
4.4,0.535,53.6,5.9,0.635,6,4,6,Menon,0.622,Bengaluru Urban,OBC,GREEN
4.2,0.313,39.9,4.7,0.337,6,3,0,Singh,0.639,Bastar,General,RED
4.9,0.633,75.5,5.0,0.644,7,3,0,Banerjee,0.444,Bengaluru Urban,General,GREEN
3.2,0.665,62.4,5.4,0.572,6,2,0,Patil,0.631,Bastar,SC,GREEN
3.1,0.381,47.3,1.1,0.318,6,3,16,Ansari,0.456,Bengaluru Urban,OBC,RED
7.7,0.688,86.3,9.9,0.863,6,3,16,Iyer,0.54,Kalahandi,General,YELLOW
9.2,0.382,41.0,6.1,0.483,9,4,14,Khan,0.781,Mewat,ST,RED
3.8,0.693,68.6,8.0,0.747,6,3,0,Khan,0.754,Pune,SC,GREEN
4.2,0.485,78.7,6.3,0.715,9,4,0,Kumar,0.884,Bengaluru Urban,SC,GREEN
5.9,0.535,62.3,6.2,0.615,4,4,3,Iyer,0.489,Hyderabad,SC,GREEN
9.0,0.663,70.5,4.6,0.597,10,3,1,Ansari,0.662,Bengaluru Urban,OBC,GREEN
3.5,0.821,82.7,8.8,0.891,5,3,0,Gupta,0.667,Pune,General,GREEN
5.8,0.557,58.6,3.4,0.554,15,4,0,Iyer,0.819,Pune,General,GREEN
2.0,0.336,51.0,3.3,0.331,5,4,0,Verma,0.82,Mumbai Suburban,OBC,YELLOW
0.8,0.659,74.2,7.6,0.75,4,4,0,Sharma,0.761,Bastar,General,GREEN
2.2,0.446,43.1,4.4,0.474,3,3,0,Deshmukh,0.583,Bengaluru Urban,OBC,GREEN
10.6,0.743,71.0,10.0,0.803,9,3,0,Kumar,0.523,Kalahandi,SC,GREEN
5.9,0.917,83.5,9.2,0.959,3,4,0,Banerjee,0.761,Bengaluru Urban,General,GREEN
1.0,0.876,98.2,8.4,0.892,5,2,8,Ansari,0.719,Bengaluru Urban,General,GREEN
6.2,0.714,31.7,7.7,0.607,9,4,0,Verma,0.886,Bastar,OBC,YELLOW
1.0,0.743,58.9,6.4,0.649,7,3,4,Paswan,0.596,Gaya,ST,GREEN
4.9,0.726,78.5,6.4,0.718,5,4,0,Yadav,0.89,Pune,OBC,GREEN
1.3,0.413,28.1,6.8,0.403,10,4,22,Patil,0.946,Hyderabad,OBC,YELLOW
0.9,0.748,100.0,9.5,0.827,3,3,2,Deshmukh,0.855,Bengaluru Urban,General,GREEN
12.0,0.931,79.3,9.6,0.974,8,2,0,Paswan,0.574,Bastar,OBC,GREEN
2.5,0.777,82.5,9.2,0.798,6,4,0,Meena,0.616,Bastar,ST,GREEN
5.8,0.878,100.0,10.0,0.91,9,2,9,Singh,0.718,Bengaluru Urban,OBC,GREEN
3.6,0.487,51.4,4.8,0.386,3,1,0,Verma,0.563,Bengaluru Urban,ST,GREEN
1.2,0.222,35.1,2.2,0.232,9,4,17,Verma,0.765,Mumbai Suburban,ST,RED
2.8,0.541,53.5,6.7,0.516,9,4,0,Iyer,0.688,Bengaluru Urban,SC,GREEN
1.2,0.503,42.2,6.8,0.617,7,3,0,Khan,0.83,Mumbai Suburban,General,GREEN
18.6,0.721,72.4,7.6,0.785,7,4,1,Kumar,0.375,Hyderabad,OBC,GREEN
6.7,0.605,66.5,8.3,0.666,4,4,6,Sharma,0.8,Hyderabad,OBC,GREEN
3.6,0.712,65.9,8.6,0.856,5,2,0,Paswan,0.901,Mewat,OBC,GREEN
5.6,0.498,45.3,6.3,0.576,3,3,6,Munda,0.814,Pune,OBC,GREEN
6.4,0.425,58.1,5.7,0.509,3,4,0,Kumar,0.549,Bengaluru Urban,OBC,GREEN
6.4,0.905,81.2,10.0,0.781,6,3,0,Sharma,0.826,Bengaluru Urban,General,GREEN
6.2,0.837,94.7,6.5,0.926,11,3,0,Ansari,0.776,Pune,General,GREEN
5.8,0.486,62.1,2.8,0.393,3,3,0,Munda,0.665,Mumbai Suburban,General,GREEN
3.8,0.61,68.4,5.0,0.516,3,4,0,Das,0.766,Bengaluru Urban,General,GREEN
11.3,0.644,86.0,8.2,0.826,4,3,0,Das,0.885,Hyderabad,General,GREEN
4.1,0.63,72.1,6.1,0.776,7,3,0,Das,0.78,Bengaluru Urban,OBC,GREEN
3.7,0.522,65.9,5.9,0.66,8,3,1,Menon,0.617,Bastar,OBC,GREEN
4.1,0.634,31.7,7.2,0.585,5,2,0,Verma,0.418,Mewat,SC,GREEN
4.4,0.584,72.8,8.0,0.734,6,3,0,Verma,0.9,Bengaluru Urban,OBC,GREEN
0.5,0.551,61.0,2.8,0.523,6,4,0,Deshmukh,0.763,Mewat,General,YELLOW
1.4,0.816,99.9,10.0,0.976,6,4,24,Patil,0.535,Hyderabad,OBC,GREEN
3.2,0.438,55.0,5.0,0.51,7,3,0,Singh,0.612,Mumbai Suburban,SC,GREEN
0.4,0.49,44.2,3.9,0.446,8,2,0,Patil,0.966,Pune,SC,GREEN
3.6,0.566,72.2,6.0,0.626,6,1,13,Menon,0.87,Pune,General,GREEN
4.3,0.599,77.7,4.0,0.554,5,2,0,Meena,0.414,Bengaluru Urban,General,GREEN
0.8,0.578,39.0,4.3,0.452,4,4,0,Verma,0.861,Bastar,OBC,YELLOW
1.9,0.597,79.6,6.1,0.583,5,4,9,Paswan,0.497,Mewat,OBC,YELLOW
9.5,0.792,77.9,10.0,0.852,4,4,5,Menon,0.715,Kalahandi,General,GREEN
5.6,0.568,63.2,7.0,0.584,4,3,22,Munda,0.432,Pune,General,YELLOW
5.4,0.841,72.0,5.4,0.645,6,2,0,Ansari,0.636,Bengaluru Urban,OBC,GREEN
8.6,0.897,93.5,9.9,0.95,12,4,0,Deshmukh,0.645,Mewat,General,GREEN
1.5,0.633,84.2,5.8,0.755,5,4,0,Das,0.49,Bengaluru Urban,OBC,GREEN
0.8,0.845,80.6,7.5,0.846,5,3,0,Paswan,0.907,Gaya,General,GREEN
7.8,0.227,42.3,1.7,0.195,6,4,9,Verma,0.82,Mumbai Suburban,SC,YELLOW
3.3,0.25,24.9,4.3,0.26,9,4,0,Meena,0.514,Kalahandi,SC,RED
1.4,0.814,65.0,8.8,0.828,3,4,4,Yadav,0.893,Mewat,General,GREEN
0.4,0.637,69.9,6.5,0.613,6,1,10,Singh,0.801,Pune,SC,GREEN
4.1,0.425,48.8,6.4,0.506,4,4,7,Sharma,0.866,Mumbai Suburban,OBC,GREEN
2.9,0.501,40.0,8.7,0.618,6,4,0,Kumar,0.917,Mewat,OBC,GREEN
2.5,0.308,26.5,4.0,0.276,8,4,0,Patil,0.869,Bastar,OBC,RED
0.1,0.429,44.7,5.2,0.471,10,4,0,Khan,0.557,Bengaluru Urban,ST,GREEN
11.2,0.506,73.7,4.8,0.508,4,4,16,Iyer,0.432,Bengaluru Urban,OBC,YELLOW
0.6,0.791,79.3,7.3,0.741,3,2,0,Khan,0.749,Bengaluru Urban,OBC,GREEN
2.7,0.514,37.4,6.9,0.542,6,4,0,Paswan,0.747,Mewat,SC,YELLOW
2.3,0.755,87.6,7.3,0.707,3,2,0,Deshmukh,0.558,Mumbai Suburban,OBC,GREEN
5.8,0.817,90.5,9.4,0.909,7,4,0,Verma,0.797,Bengaluru Urban,General,GREEN
0.5,0.782,81.0,10.0,0.863,7,3,0,Munda,0.906,Mewat,OBC,GREEN
5.2,0.655,74.2,7.7,0.75,5,1,0,Deshmukh,0.794,Pune,General,GREEN
4.2,0.812,86.0,6.7,0.792,8,3,0,Paswan,0.829,Mumbai Suburban,General,GREEN
1.8,0.28,22.6,1.3,0.28,5,4,0,Meena,0.837,Gaya,General,RED
5.1,0.669,65.4,8.6,0.734,8,2,0,Khan,0.847,Gaya,OBC,GREEN
3.6,0.216,22.9,2.0,0.194,4,1,0,Banerjee,0.707,Kalahandi,ST,YELLOW
13.2,0.603,69.1,6.9,0.667,9,3,0,Patil,0.813,Bengaluru Urban,SC,GREEN
2.9,0.8,88.1,6.8,0.814,7,1,0,Verma,0.689,Mumbai Suburban,SC,GREEN
1.2,0.258,26.8,4.0,0.311,3,4,0,Meena,0.863,Kalahandi,General,RED
5.3,0.461,36.1,7.9,0.539,9,4,0,Das,0.644,Gaya,General,YELLOW
2.6,0.936,87.3,10.0,0.901,5,4,0,Menon,0.703,Bastar,General,GREEN
3.5,0.846,93.3,9.4,0.873,6,1,0,Verma,0.579,Bastar,SC,GREEN
0.8,0.379,38.2,6.2,0.39,3,3,0,Khan,0.83,Kalahandi,General,RED
5.8,0.751,76.8,10.0,0.927,4,4,16,Ansari,0.606,Pune,SC,GREEN
2.2,0.437,31.5,3.9,0.318,6,3,0,Banerjee,0.651,Gaya,OBC,RED
4.4,0.609,60.5,8.0,0.637,6,4,7,Meena,0.773,Mumbai Suburban,General,GREEN
15.7,0.34,42.3,5.8,0.412,7,4,0,Verma,0.694,Gaya,OBC,YELLOW
2.8,0.889,97.0,8.5,0.948,9,3,5,Deshmukh,0.387,Bengaluru Urban,General,GREEN
6.5,0.573,83.7,6.4,0.669,3,4,7,Ansari,0.763,Bastar,General,GREEN
